track.external_urls.spotify,track.name,track.id,key,mode,tempo,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,track.uri,time_signature
https://open.spotify.com/track/2JmvwF29iUVb3oEFW4Bvf3,New York City,2JmvwF29iUVb3oEFW4Bvf3,4,FALSE,126.062,230666,14,0.0127,0.564,0.639,0,0.133,-6.828,0.038,0.0624,spotify:track:2JmvwF29iUVb3oEFW4Bvf3,4
https://open.spotify.com/track/1vKVGg4sQDZW4eO7qLh6WM,"Love, Peace & Harmony",1vKVGg4sQDZW4eO7qLh6WM,0,TRUE,129.997,147060,44,0.0088,0.49,0.95,0.515,0.462,-5.325,0.0381,0.0785,spotify:track:1vKVGg4sQDZW4eO7qLh6WM,4
https://open.spotify.com/track/1hZCT7LgxK5KVyLUtJMDJW,Born Slippy - Reincarnation Edit,1hZCT7LgxK5KVyLUtJMDJW,10,TRUE,125.011,249600,35,0.00345,0.674,0.819,0.0234,0.0921,-7.68,0.0383,0.117,spotify:track:1hZCT7LgxK5KVyLUtJMDJW,4
https://open.spotify.com/track/7aRKKNCR5SJY1Gae601BMO,Sound Of The Drums,7aRKKNCR5SJY1Gae601BMO,8,FALSE,131.855,235880,20,0.482,0.615,0.57,0.00146,0.146,-8.975,0.0384,0.312,spotify:track:7aRKKNCR5SJY1Gae601BMO,4
https://open.spotify.com/track/0LEsGGRUrZZhLPFoxeioHr,Sleepin In,0LEsGGRUrZZhLPFoxeioHr,0,TRUE,128.997,261253,0,0.234,0.715,0.635,0.000542,0.157,-6.345,0.0384,0.679,spotify:track:0LEsGGRUrZZhLPFoxeioHr,4
https://open.spotify.com/track/58aSEVveLPGAGoyzYNgUHt,Finder - Carl Cox Remix Edit,58aSEVveLPGAGoyzYNgUHt,11,FALSE,126.023,206492,62,0.000164,0.783,0.957,0.838,0.317,-5.993,0.0385,0.43,spotify:track:58aSEVveLPGAGoyzYNgUHt,4
https://open.spotify.com/track/5lVPbg9XJzLHsjoYcrnEXf,Real Enough To Feel Good,5lVPbg9XJzLHsjoYcrnEXf,7,FALSE,131.982,306178,27,0.226,0.767,0.685,0.661,0.149,-6.135,0.0388,0.371,spotify:track:5lVPbg9XJzLHsjoYcrnEXf,4
https://open.spotify.com/track/0WfOuXw05LJq4ik1lVvTzi,Apricots,0WfOuXw05LJq4ik1lVvTzi,11,TRUE,127.986,246506,67,0.347,0.819,0.599,0.824,0.083,-6.778,0.039,0.489,spotify:track:0WfOuXw05LJq4ik1lVvTzi,4
https://open.spotify.com/track/5W5JeZwZxK3kN9U19nkqam,Ð Ð°Ð½Ð¾-Ñ€Ð°Ð½ÐµÐ½ÑŒÐºÐ¾,5W5JeZwZxK3kN9U19nkqam,7,FALSE,128.073,249374,46,0.0256,0.581,0.722,0.0159,0.294,-5.378,0.0392,0.204,spotify:track:5W5JeZwZxK3kN9U19nkqam,4
https://open.spotify.com/track/7vaL7BD7kwQUZV6ES9psjC,In My Head (Part I),7vaL7BD7kwQUZV6ES9psjC,5,FALSE,130.027,217846,7,0.00882,0.534,0.923,0.823,0.134,-6.599,0.0392,0.0672,spotify:track:7vaL7BD7kwQUZV6ES9psjC,4
